Name;Country;lat;lon;Description
Asian Civilisations Museum; Singapore;1.28744635;103.8514861766425;Museum
National Gallery; Singapore;1.2902557;103.8514709;Museum
Peranakan Museum; Singapore;1.29429255;103.84908938055555;Museum
National Museum; Singapore;1.2965476;103.84831668321195;Museum
National Museums in the North-East Region : Phimai National Museum; Thailand;1.3011676;103.7734711;Museum
Malay Heritage Centre; Singapore;1.30286515;103.859826899204;Monument or Site
Indian Heritage Centre; Singapore;1.3056249;103.8523218052765;Monument or Site
Songkhla Chumphon National Museum; Thailand;10.523689950000001;99.19349259662637;Museum
Kamphaeng Phet Historical Park; Thailand;10.59319;98.89122;Monument or Site
“Arpi” Natural – Historical Reserve; Armenia;12.50409875;-86.66888152230956;Monument or Site
“Arpi” Natural – Historical Reserve; Armenia;12.50409875;-86.66888152230956;Monument or Site
The National Gallery; Thailand;13.704268;100.50206;Monument or Site
Phanom Rung Historical Park; Thailand;13.747391;101.364233;Monument or Site
Bangkok National Museum; Thailand;13.7581806;100.4914810262232;Museum
Bangkok National Museum; Thailand;13.7581806;100.4914810262232;Museum
Bangkok The National Gallery; Thailand;13.759216550000001;100.49396353820475;Monument or Site
National Museum of Royal Barges; Thailand;13.76200145;100.48457076516219;Museum
Phra Nakhon Khiri; Thailand;13.778306;100.5714559;Monument or Site
Chao Samphraya National Museum; Thailand;14.3510945;100.56181123921857;Museum
Phra Nakhon si Ayutthaya (Ayutthaya); Thailand;14.3535427;100.5645684;Monument or Site
Museo ng Tanauan; Philippines;14.604157149999999;121.0313276975708;Museum
Surin National Museum; Thailand;14.848373;103.4737728;Museum
Nakhon Ratchasima; Thailand;14.9747339;102.0981161;Monument or Site
Ubon Ratchathani National Museum; Thailand;15.227656249999999;104.85775275;Museum
Vijayanagara (Hampi) archaeological site; India;15.3294088;76.47553824077656;Monument or Site
Ubon Ratchathani Khon Kaen National Museum; Thailand;15.33187;104.7052;Museum
Si Thep (Petchabun); Thailand;16.418027;101.1556825;Monument or Site
Sukhothai Historical Park (Sukhothai); Thailand;17.010918;99.8203682;Monument or Site
Kamphaeng Phet Historical Park (Kamphaeng Phet) Sri Satchanalaï Historical Park (Sukhothai); Thailand;17.010918;99.8203682;Monument or Site
Historic City of Ayutthaya; Thailand;17.01152605;99.70641261057204;Monument or Site
Ramkhamhaeng National Museum; Thailand;17.01780455;99.70772635196631;Museum
“Garni ” Historical & Archaeological Museum-Reserve Orbeli Brothers House-Museum; Armenia;17.146718;-89.073909;Monument or Site
Inburi National Museum; Thailand;17.31933;99.826777;Museum
Mahaviravong National Museum; Thailand;17.31933;99.826777;Museum
Ratchaburi National Museum; Thailand;17.31933;99.826777;Museum
Ban Chiang National Museum; Thailand;17.40778555;103.23577879358153;Museum
Ban Chiang National Museum; Thailand;17.40778555;103.23577879358153;Museum
